# 无释义词组补录工作表（G1）—— 由 tools/import_no_meaning_phrases.py 生成
# 用法：核对「建议释义（AI，未核实）」，把认可的解释抄进「释义」列后运行：
#   python tools/import_no_meaning_phrases.py --import [--dry-run]
# 导入只认「释义」列；留空的行跳过。请勿改动前四列或增删行。
词组	级别	来源	建议释义（AI，未核实）	释义（人工填写）
a chorus of	高中	2015PASS图解速记高中短语与句型.xlsx	一群；齐声；一齐	
against sb.'s will	高中	2015PASS图解速记高中短语与句型.xlsx	违背某人的意愿	
appoint as	高中	2015PASS图解速记高中短语与句型.xlsx	任命为	
at sb.'s convenience	高中	2015PASS图解速记高中短语与句型.xlsx	在某人方便的时候	
at sb.'s expense	高中	2015PASS图解速记高中短语与句型.xlsx	由某人付费；由某人承担费用	
at sb.'s service	高中	2015PASS图解速记高中短语与句型.xlsx	听候某人吩咐；随时为某人服务	
be drafted into	高中	2015PASS图解速记高中短语与句型.xlsx	被征召加入（军队等）	
be free to do sth.	高中	2015PASS图解速记高中短语与句型.xlsx	自由地做某事	
be honored for	高中	2015PASS图解速记高中短语与句型.xlsx	因……而受到尊敬（获奖）	
be nervous about	高中	2015PASS图解速记高中短语与句型.xlsx	对……感到紧张	
be proud about	高中	2015PASS图解速记高中短语与句型.xlsx	为……感到骄傲	
be proud to	高中	2015PASS图解速记高中短语与句型.xlsx	自豪地去做……	
be worthy to	高中	2015PASS图解速记高中短语与句型.xlsx	值得……；配得上……	
become addicted to	高中	2015PASS图解速记高中短语与句型.xlsx	沉溺于；对……上瘾	
do good deeds	高中	2015PASS图解速记高中短语与句型.xlsx	做好事	
draw sb.'s attention	高中	2015PASS图解速记高中短语与句型.xlsx	吸引某人的注意	
expert on	高中	2015PASS图解速记高中短语与句型.xlsx	……方面的专家	
fix a date for	高中	2015PASS图解速记高中短语与句型.xlsx	确定……的日期	
follow sb.'s advice	高中	2015PASS图解速记高中短语与句型.xlsx	听从某人的建议	
for one thing ... for another	高中	2015PASS图解速记高中短语与句型.xlsx	一方面……另一方面……	
get engaged to	高中	2015PASS图解速记高中短语与句型.xlsx	与……订婚	
give life to	高中	2015PASS图解速记高中短语与句型.xlsx	赋予……生命力；使有活力	
great numbers of	高中	2015PASS图解速记高中短语与句型.xlsx	大量的；许多	
have access	高中	2015PASS图解速记高中短语与句型.xlsx	有机会使用；有接近的权利	
have desire to do	高中	2015PASS图解速记高中短语与句型.xlsx	有做某事的愿望	
have sb. doing	高中	2015PASS图解速记高中短语与句型.xlsx	让某人一直做某事	
have sth. doing	高中	2015PASS图解速记高中短语与句型.xlsx	让某物保持某种状态／动作	
have trouble in doing	高中	2015PASS图解速记高中短语与句型.xlsx	做某事有困难	
let sb. do sth.	高中	2015PASS图解速记高中短语与句型.xlsx	让某人做某事	
make one's way towards ...	高中	2015PASS图解速记高中短语与句型.xlsx	向……走去	
make plans for	高中	2015PASS图解速记高中短语与句型.xlsx	为……制定计划	
make sb.'s acquaintance	高中	2015PASS图解速记高中短语与句型.xlsx	结识某人	
make to sb.'s own measure	高中	2015PASS图解速记高中短语与句型.xlsx	按某人的尺寸制作（量体裁衣）	
needn't have done	高中	2015PASS图解速记高中短语与句型.xlsx	本不必做（却做了）	
nervous about	高中	2015PASS图解速记高中短语与句型.xlsx	对……感到紧张	
not ... till	高中	2015PASS图解速记高中短语与句型.xlsx	直到……才……	
not as ... as	高中	2015PASS图解速记高中短语与句型.xlsx	不如……那样……	
not usually	高中	2015PASS图解速记高中短语与句型.xlsx	通常不	
open the floor	高中	2015PASS图解速记高中短语与句型.xlsx	宣布自由发言；开始讨论	
prefer to do rather than to do	高中	2015PASS图解速记高中短语与句型.xlsx	宁愿做……而不愿做……	
put one's finger	高中	2015PASS图解速记高中短语与句型.xlsx	（与 on 连用）明确指出	
realize one's dream	高中	2015PASS图解速记高中短语与句型.xlsx	实现梦想	
save sb.'s life	高中	2015PASS图解速记高中短语与句型.xlsx	救某人的命	
spend ... doing	高中	2015PASS图解速记高中短语与句型.xlsx	花费（时间／金钱）做某事	
spend ... in doing	高中	2015PASS图解速记高中短语与句型.xlsx	花费（时间）做某事	
... has a population of ...	高考	24天突破高考英语必背短语.xlsx	……有……的人口	
a developed country	高考	24天突破高考英语必背短语.xlsx	发达国家	
a developing country	高考	24天突破高考英语必背短语.xlsx	发展中国家	
a few pieces of advice	高考	24天突破高考英语必背短语.xlsx	几条建议	
a place of interest	高考	24天突破高考英语必背短语.xlsx	名胜	
a year and a half	高考	24天突破高考英语必背短语.xlsx	一年半	
achieve one's aim	高考	24天突破高考英语必背短语.xlsx	达到目的	
achieve one's goal	高考	24天突破高考英语必背短语.xlsx	实现目标	
address a letter	高考	24天突破高考英语必背短语.xlsx	在信封上写地址	
address the letter	高考	24天突破高考英语必背短语.xlsx	在信封上写地址	
advise that sb. do sth.	高考	24天突破高考英语必背短语.xlsx	建议某人做某事（从句用虚拟语气）	
advise that sb. should do sth.	高考	24天突破高考英语必背短语.xlsx	建议某人（应该）做某事	
agree that ...	高考	24天突破高考英语必背短语.xlsx	同意……（从句内容）	
agree to one's plan	高考	24天突破高考英语必背短语.xlsx	同意某人的计划	
agree to one's suggestion	高考	24天突破高考英语必背短语.xlsx	同意某人的建议	
agree with one's analysis	高考	24天突破高考英语必背短语.xlsx	同意某人的分析	
agree with one's idea	高考	24天突破高考英语必背短语.xlsx	同意某人的想法	
agree with one's opinion	高考	24天突破高考英语必背短语.xlsx	同意某人的观点	
all through the year	高考	24天突破高考英语必背短语.xlsx	一年到头；全年	
appear to do	高考	24天突破高考英语必背短语.xlsx	似乎；看来好像要做	
apply one's minds to	高考	24天突破高考英语必背短语.xlsx	专心于；潜心研究	
appreciate sb. doing sth.	高考	24天突破高考英语必背短语.xlsx	感激某人做某事	
ask some questions of sb.	高考	24天突破高考英语必背短语.xlsx	向某人提问	
at a great depth	高考	24天突破高考英语必背短语.xlsx	在很深处	
at a low speed	高考	24天突破高考英语必背短语.xlsx	以低速	
at a safe speed	高考	24天突破高考英语必背短语.xlsx	以安全的速度	
at least ... if not more	高考	24天突破高考英语必背短语.xlsx	至少……（甚至更多）	
at that very moment	高考	24天突破高考英语必背短语.xlsx	就在那时	
at the ball	高考	24天突破高考英语必背短语.xlsx	在舞会上	
at the crossing	高考	24天突破高考英语必背短语.xlsx	在十字路口	
at the top of the voice	高考	24天突破高考英语必背短语.xlsx	放开嗓子；高声地	
attract one's attention	高考	24天突破高考英语必背短语.xlsx	吸引某人的注意	
be about to do ... when ...	高考	24天突破高考英语必背短语.xlsx	正要做……这时（突然）……	
be admitted into universities	高考	24天突破高考英语必背短语.xlsx	被大学录取	
be along with	高考	24天突破高考英语必背短语.xlsx	和……一起	
be an expert at sth.	高考	24天突破高考英语必背短语.xlsx	是……方面的专家	
be an expert in sth.	高考	24天突破高考英语必背短语.xlsx	是……方面的专家	
be an expert on sth.	高考	24天突破高考英语必背短语.xlsx	是……方面的专家	
be at breakfast	高考	24天突破高考英语必背短语.xlsx	正在吃早饭	
be at lunch	高考	24天突破高考英语必背短语.xlsx	正在吃午饭	
be at supper	高考	24天突破高考英语必背短语.xlsx	正在吃晚饭	
be at the same level	高考	24天突破高考英语必背短语.xlsx	处于同一水平	
be blind in one eye	高考	24天突破高考英语必背短语.xlsx	一只眼睛失明	
be certain to do	高考	24天突破高考英语必背短语.xlsx	肯定会做	
be considered to be	高考	24天突破高考英语必背短语.xlsx	被认为是	
be content to do	高考	24天突破高考英语必背短语.xlsx	满足于做；愿意做	
be doing ... when ...	高考	24天突破高考英语必背短语.xlsx	正在做……这时（突然）……	
be done away with	高考	24天突破高考英语必背短语.xlsx	被废除；被去掉	
be due to do	高考	24天突破高考英语必背短语.xlsx	预定要做；预期要做	
be encouraged to do sth.	高考	24天突破高考英语必背短语.xlsx	被鼓励做某事	
be expert at doing	高考	24天突破高考英语必背短语.xlsx	擅长做	
be expert in doing	高考	24天突破高考英语必背短语.xlsx	擅长做	
be famous to sb.	高考	24天突破高考英语必背短语.xlsx	为某人所熟知	
be forced to do	高考	24天突破高考英语必背短语.xlsx	被迫做	
be good on sb.	高考	24天突破高考英语必背短语.xlsx	对某人有效；适合某人	
be good value for money	高考	24天突破高考英语必背短语.xlsx	物有所值	
be honoured for sth.	高考	24天突破高考英语必背短语.xlsx	因某事而受到尊敬	
be in darkness	高考	24天突破高考英语必背短语.xlsx	一片黑暗	
be in disorder	高考	24天突破高考英语必背短语.xlsx	杂乱无章；处于混乱状态	
be in earnest	高考	24天突破高考英语必背短语.xlsx	认真的；一本正经	
be in good order	高考	24天突破高考英语必背短语.xlsx	完好；井然有序	
be in great need	高考	24天突破高考英语必背短语.xlsx	急需	
be in one's charge	高考	24天突破高考英语必背短语.xlsx	由某人负责／照管	
be in poor health	高考	24天突破高考英语必背短语.xlsx	身体不好	
be in the charge of sb.	高考	24天突破高考英语必背短语.xlsx	由某人负责／掌管	
be introduced into	高考	24天突破高考英语必背短语.xlsx	被引进；被传入	
be joined to	高考	24天突破高考英语必背短语.xlsx	与……连接；接到……上	
be likely to do	高考	24天突破高考英语必背短语.xlsx	可能做；有可能做	
be longing for	高考	24天突破高考英语必背短语.xlsx	渴望得到	
be longing to do	高考	24天突破高考英语必背短语.xlsx	渴望做	
be lost in sight	高考	24天突破高考英语必背短语.xlsx	消失在视线中；看不见了	
be measured in	高考	24天突破高考英语必背短语.xlsx	以……（单位）来计量	
be mixed with	高考	24天突破高考英语必背短语.xlsx	与……混合	
be of the same kind	高考	24天突破高考英语必背短语.xlsx	同一类型；同类	
be of this kind	高考	24天突破高考英语必背短语.xlsx	属于这一类	
be on a visit from someplace	高考	24天突破高考英语必背短语.xlsx	从某地来访；在访问中	
be on a visit to someplace	高考	24天突破高考英语必背短语.xlsx	在某地访问／参观	
be on business	高考	24天突破高考英语必背短语.xlsx	出差	
be on diet	高考	24天突破高考英语必背短语.xlsx	节食	
be pleased at doing sth.	高考	24天突破高考英语必背短语.xlsx	对做某事感到高兴	
be pleased to do sth.	高考	24天突破高考英语必背短语.xlsx	乐于做某事	
be polite to sb.	高考	24天突破高考英语必背短语.xlsx	对某人有礼貌	
be popular among ...	高考	24天突破高考英语必背短语.xlsx	在……当中受欢迎	
be present at the meeting	高考	24天突破高考英语必背短语.xlsx	出席会议	
be recognised as	高考	24天突破高考英语必背短语.xlsx	被认作；被认为是	
be said to do	高考	24天突破高考英语必背短语.xlsx	据说要做；据说……	
be successful in doing sth.	高考	24天突破高考英语必背短语.xlsx	成功做成某事	
be supplied to sb.	高考	24天突破高考英语必背短语.xlsx	提供给某人	
be thought as	高考	24天突破高考英语必背短语.xlsx	被认为是	
be thought of	高考	24天突破高考英语必背短语.xlsx	被想起；被认为	
be tired from doing	高考	24天突破高考英语必背短语.xlsx	因做……而疲劳	
be to the taste	高考	24天突破高考英语必背短语.xlsx	合口味；受……欢迎	
be trapped by	高考	24天突破高考英语必背短语.xlsx	被困于；落入……的圈套	
be trapped by the fire	高考	24天突破高考英语必背短语.xlsx	被大火困住	
be under one's charge	高考	24天突破高考英语必背短语.xlsx	由某人主管	
be under the charge of sb.	高考	24天突破高考英语必背短语.xlsx	在某人主管之下	
be unwilling to do	高考	24天突破高考英语必背短语.xlsx	不愿意做	
be used to do	高考	24天突破高考英语必背短语.xlsx	被用来做	
be used to doing	高考	24天突破高考英语必背短语.xlsx	习惯于做	
be value for money	高考	24天突破高考英语必背短语.xlsx	物有所值	
be widely accepted	高考	24天突破高考英语必背短语.xlsx	被广泛接受	
beat sb. black and blue	高考	24天突破高考英语必背短语.xlsx	把某人打得青一块紫一块	
beat sb. on the head	高考	24天突破高考英语必背短语.xlsx	打在某人的头上	
beat sb. to death	高考	24天突破高考英语必背短语.xlsx	把某人打死	
become a success	高考	24天突破高考英语必背短语.xlsx	获得成功；成为成功的人（事）	
become separated	高考	24天突破高考英语必背短语.xlsx	分开；走散	
become widely accepted	高考	24天突破高考英语必背短语.xlsx	被广泛接受	
both ... not ...	高考	24天突破高考英语必背短语.xlsx	并非两者都……（部分否定）	
break one's words	高考	24天突破高考英语必背短语.xlsx	失信；食言	
bring ... to one's notice	高考	24天突破高考英语必背短语.xlsx	使某人注意到……	
call on sb. to do sth.	高考	24天突破高考英语必背短语.xlsx	号召／恳请某人做某事	
call one's attention to	高考	24天突破高考英语必背短语.xlsx	唤起某人对……的注意	
can't resist doing	高考	24天突破高考英语必背短语.xlsx	忍不住做；无法抗拒	
carry out one's promise	高考	24天突破高考英语必背短语.xlsx	履行诺言	
catch one's attention	高考	24天突破高考英语必背短语.xlsx	引起某人的注意	
come to one's notice	高考	24天突破高考英语必背短语.xlsx	引起某人的注意；被某人注意到	
consider ... to be	高考	24天突破高考英语必背短语.xlsx	认为……是……	
cover the events	高考	24天突破高考英语必背短语.xlsx	报道这些事件	
cut one's hair short	高考	24天突破高考英语必背短语.xlsx	把头发剪短	
daily goods	高考	24天突破高考英语必背短语.xlsx	日用品	
delay doing	高考	24天突破高考英语必背短语.xlsx	推迟做	
demand to do	高考	24天突破高考英语必背短语.xlsx	要求做	
develop an interest in sth.	高考	24天突破高考英语必背短语.xlsx	培养对某事的兴趣	
direct sb. to do	高考	24天突破高考英语必背短语.xlsx	指示／指导某人做	
direct that sb. should do	高考	24天突破高考英语必背短语.xlsx	指示某人（应该）做	
discourage sb. from doing sth.	高考	24天突破高考英语必背短语.xlsx	劝阻某人不做某事	
dislike doing sth.	高考	24天突破高考英语必背短语.xlsx	不喜欢做某事	
do research about ...	高考	24天突破高考英语必背短语.xlsx	对……进行研究	
do research in ...	高考	24天突破高考英语必背短语.xlsx	在……领域做研究	
do research into ...	高考	24天突破高考英语必背短语.xlsx	对……进行深入研究	
do so ... as to do	高考	24天突破高考英语必背短语.xlsx	这样做以便……	
do such ... as to do	高考	24天突破高考英语必背短语.xlsx	做到如此程度以便……	
draw a deep breath	高考	24天突破高考英语必背短语.xlsx	深吸一口气	
